date  close volume
07/01/2008  5452.8  7376482
08/01/2008  5495.6  7641948
09/01/2008  5435.4  8601614
10/01/2008  5400.4  7106020
11/01/2008  5371.4  7714378
14/01/2008  5403.5  5967384
15/01/2008  5250.8  8176693
16/01/2008  5225.3  9409798
17/01/2008  5157.0  8092515
18/01/2008  5092.4  10139033
21/01/2008  4744.4  13561341
22/01/2008  4842.5  15852756
23/01/2008  4636.7  12595746
24/01/2008  4916.9  12844824
25/01/2008  4878.1  9261068
28/01/2008  4848.3  6854908
29/01/2008  4941.4  7379505
30/01/2008  4873.5  7315223
31/01/2008  4869.7  8354772
01/02/2008  4978.0  8881349
04/02/2008  4973.6  5335462
05/02/2008  4776.8  7841804
06/02/2008  4816.4  8016299
07/02/2008  4723.8  7365173
08/02/2008  4709.6  6171508
11/02/2008  4682.7  5521618
12/02/2008  4840.7  7374271
13/02/2008  4855.4  6422858
14/02/2008  4858.6  7164949
15/02/2008  4771.7  6691784
18/02/2008  4861.8  3746714
19/02/2008  4885.8  5768143
20/02/2008  4812.8  6894848
21/02/2008  4858.8  6747761
22/02/2008  4824.5  6618111
25/02/2008  4919.2  5812742
26/02/2008  4973.0  7034226
27/02/2008  4968.8  6550781
28/02/2008  4865.2  7457763
29/02/2008  4790.6  7424134
03/03/2008  4742.6  5613378
04/03/2008  4675.9  5870603
05/03/2008  4756.4  5456713
06/03/2008  4678.0  5629301
07/03/2008  4618.9  6887521
10/03/2008  4566.9  5589427
11/03/2008  4627.6  6636401
12/03/2008  4697.1  6991424
13/03/2008  4630.1  6943228
14/03/2008  4592.1  7982800
17/03/2008  4431.0  9119978
18/03/2008  4582.5  7538399
19/03/2008  4555.9  9183073
20/03/2008  4533.7  9882747
25/03/2008  4692  7361727
26/03/2008  4676.6  5703699
27/03/2008  4719.5  5451905
28/03/2008  4695.9  4108124
31/03/2008  4707.0  5295517
01/04/2008  4866  7061553
02/04/2008  4911.9  6492172
03/04/2008  4887.8  5940921
04/04/2008  4900.8  5144213
07/04/2008  4944.6  4831723
08/04/2008  4912.6  4080460
09/04/2008  4874.9  4881189
10/04/2008  4859.4  5697805
11/04/2008  4797.9  5487697
14/04/2008  4766.4  4521113
15/04/2008  4780.6  4475438
16/04/2008  4855.1  6275434
17/04/2008  4862.1  5685961
18/04/2008  4961.6  7151124
21/04/2008  4910.3  5353988
22/04/2008  4872.6  4792661
23/04/2008  4944.6  5826197
24/04/2008  4929.5  5337362
25/04/2008  4978.2  5119279
28/04/2008  5012.7  3684240
29/04/2008  4977.1  4829089
30/04/2008  4996.5  4886749
02/05/2008  5069.7  5838813
05/05/2008  5063.3  2682620
06/05/2008  5040.9  4898056
07/05/2008  5075.3  5210826
08/05/2008  5055.5  4428739
09/05/2008  4960.5  5209506
12/05/2008  4976.2  2843418
13/05/2008  4998.6  5159204
14/05/2008  5055.2  5760532
15/05/2008  5057.5  4846178
16/05/2008  5078.0  5880144
19/05/2008  5142.1  4772455
20/05/2008  5054.8  5143994
21/05/2008  5027.5  6056560
22/05/2008  5028.7  5210789
23/05/2008  4933.7  5044576
26/05/2008  4937.8  2391321
27/05/2008  4906.5  4738899
28/05/2008  4971.1  5264754
29/05/2008  4975.9  5522868
30/05/2008  5014.2  5880334
02/06/2008  4935.2  4645416
03/06/2008  4983.7  4777440
04/06/2008  4915.0  5741597
05/06/2008  4907.0  6071205
06/06/2008  4795.3  6783053
09/06/2008  4799.3  5024810
10/06/2008  4761.0  6140364
11/06/2008  4660.9  6390539
12/06/2008  4672.3  6271751
13/06/2008  4682.3  5358510
16/06/2008  4657.7  4703124
17/06/2008  4686.3  5319684
18/06/2008  4618.7  5748910
19/06/2008  4591.3  6548390
20/06/2008  4509.2  8977539
23/06/2008  4511.3  4630661
24/06/2008  4473.7  6372099
25/06/2008  4536.2  5202648
26/06/2008  4426.1  5823392
27/06/2008  4397.3  6562973
30/06/2008  4434.8  6167704
01/07/2008  4341.2  6280267
02/07/2008  4296.4  6482420
03/07/2008  4343.9  7669730
04/07/2008  4266  3615144
07/07/2008  4342.5  4185182
08/07/2008  4275.6  6249982
09/07/2008  4339.6  4951975
10/07/2008  4231.5  6049128
11/07/2008  4100.6  6151880
14/07/2008  4142.5  3968718
15/07/2008  4061.1  6415709
16/07/2008  4112.4  6303888
17/07/2008  4225.9  7899204
18/07/2008  4299.3  7725629
21/07/2008  4327.1  10285371
22/07/2008  4327.2  5170706
23/07/2008  4408.7  5845718
24/07/2008  4347.9  6068277
25/07/2008  4377.1  5860055
28/07/2008  4324.4  3981412
29/07/2008  4320.4  5296065
30/07/2008  4400.5  5095058
31/07/2008  4392.3  5333632
01/08/2008  4314.3  4691103
04/08/2008  4280.6  3684395
05/08/2008  4386.3  6319630
06/08/2008  4448.3  6007810
07/08/2008  4457.4  5905562
08/08/2008  4491.8  5184887
11/08/2008  4538.4  3264130
12/08/2008  4518.4  4936518
13/08/2008  4402.9  5206228
14/08/2008  4420.9  4205920
15/08/2008  4453.6  3523643
18/08/2008  4448.8  3043562
19/08/2008  4332.7  4199328
20/08/2008  4365.8  3760586
21/08/2008  4304.6  3815524
22/08/2008  4400.4  3440148
25/08/2008  4355.8  1991546
26/08/2008  4368.5  3127651
27/08/2008  4373.0  3452954
28/08/2008  4461.4  4783493
29/08/2008  4482.6  4483998
01/09/2008  4472.1  2837049
02/09/2008  4539.0  5767539
03/09/2008  4447.1  4421896
04/09/2008  4304.0  5620493
05/09/2008  4196.6  6081487
08/09/2008  4340.1  6788270
09/09/2008  4293.3  5919971
10/09/2008  4283.6  6101665
11/09/2008  4249.0  5330811
12/09/2008  4332.6  4730250
15/09/2008  4168.9  8845236
16/09/2008  4087.4  8996210
17/09/2008  4000.1  8149775
18/09/2008  3957.8  8733468
19/09/2008  4324.8  15846613
22/09/2008  4223.5  6303121
23/09/2008  4139.8  5574174
24/09/2008  4114.5  4524744
25/09/2008  4226.8  5169054
26/09/2008  4163.3  4416633
29/09/2008  3953.4  6125750
30/09/2008  4032.1  7417427
01/10/2008  4054.5  4890385
02/10/2008  3963.2  5813326
03/10/2008  4080.7  6272896
06/10/2008  3711.9  8106883
07/10/2008  3732.2  7248299
08/10/2008  3496.8  10019562
09/10/2008  3442.7  7268919
10/10/2008  3176.4  11290494
13/10/2008  3531.5  8018705
14/10/2008  3628.5  8643946
15/10/2008  3381.0  6857899
16/10/2008  3181  8230127
17/10/2008  3329.9  7620371
20/10/2008  3448.5  5550121
21/10/2008  3475.4  4962549
22/10/2008  3298.1  5130263
23/10/2008  3310.8  5551744
24/10/2008  3193.7  6891109
27/10/2008  3067.3  5025786
28/10/2008  3114.9  6306871
29/10/2008  3402.5  7449900
30/10/2008  3407.8  6039435
31/10/2008  3487.0  5353527
03/11/2008  3527.9  3551383
04/11/2008  3691.0  5284298
05/11/2008  3618.1  4789111
06/11/2008  3387.2  5213644
07/11/2008  3469.1  4140250
10/11/2008  3505.7  3412886
11/11/2008  3336.4  3585589
12/11/2008  3233.9  4158392
13/11/2008  3269.4  3758108
14/11/2008  3291.4  4044370
17/11/2008  3182.0  3605637
18/11/2008  3217.4  3887000
19/11/2008  3087.8  4025116
20/11/2008  2980.4  5027821
21/11/2008  2881.2  4859374
24/11/2008  3172.1  5038723
25/11/2008  3209.5  5234380
26/11/2008  3169.8  3497755
27/11/2008  3250.3  2653501
28/11/2008  3262.6  3354959
01/12/2008  3080.4  3341001
02/12/2008  3152.9  3461370
03/12/2008  3166.6  3202939
04/12/2008  3161.1  3768787
05/12/2008  2988.0  3996352
08/12/2008  3247.4  4522571
09/12/2008  3297.8  4623345
10/12/2008  3320.3  3257353
11/12/2008  3306.1  2869892
12/12/2008  3213.6  3665532
15/12/2008  3185.6  2752339
16/12/2008  3251.6  3011842
17/12/2008  3241.9  4308717
18/12/2008  3234.1  3917293
19/12/2008  3225.9  5255353
22/12/2008  3151.3  2852121
23/12/2008  3128.4  2164513
24/12/2008  3116.2  664650
29/12/2008  3130.7  1355213
30/12/2008  3217.1  1528155
31/12/2008  3217.9  803467
02/01/2009  3349.6  1789540
